"ID","Ref No","Methods","Scale","Crop","Country","Site(location)","Region","latitude","longitude","Current Average Temperature (dC)_area_weighted","Current Average Temperature_point_coordinate (dC)","Current Annual Precipitation (mm) _area_weighted","Current Annual Precipitation  (mm) _point_coordinate","Future_Mid-point","Baseline_Mid-point","Time slice","Climate scenario","Scenario source","Local delta T","Local delta T from 2005","Annual Precipitation change each study  (mm)","Annual Precipitation change  from 2005 (mm)","Global delta T from pre-industrial period","Global delta T from 2005","Projected yield (t/ha)","Climate impacts (%)","Climate impacts relative to 2005","Climate impacts per dC (%)","Climate impacts per decade (%)","CO2","CO2 ppm","Fertiliser","Irrigation","Cultivar","Soil organic matter management","Planting time","Tillage","Others","Adaptation","Adaptation type","Reference","doi","Publication year","Note1 
(* = corrected by HW)","Note2 
(* = Local temperature is  estimated )","Note3 
(* = Local delta Pr is  estimated )","Note4 
(* = Global temperature is  estimated )","Seasonal Precipitation change (mm) each study (local baseperiod)","Base precipitation (annual) (mm) (local base period)","Annual Preciptation change (%) (relative to local base)","Base precipitation (seasonal) (mm) (local base period)"
37,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,3.29727222,-40.9091,-39.1042867647059,-13.6363666666667,-6.01604411764706,"Yes",524.30217,"No","No","No","No","No","No","No","No","No","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
38,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,3.97366866,-28.7873,-27.5172720588235,-9.59576666666667,-4.23342647058823,"Yes",524.30217,"No","No","No","No","Yes","No","No","Yes","Planting date","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
39,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,7.43996466,33.3327,31.8621397058824,11.1109,4.90186764705882,"Yes",524.30217,"No","No","Yes","No","Yes","No","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
40,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,3.73521294,-33.0607,-31.6021397058823,-11.0202333333333,-4.86186764705882,"Yes",524.30217,"No","No","No","No","No","Yes","No","Yes","Tillage","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
41,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,3.96390366,-28.9623,-27.6845514705882,-9.6541,-4.25916176470588,"Yes",524.30217,"No","No","No","No","Yes","Yes","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
42,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2070,2002,"EC","RCP4.5","CMIP5",3,2.86764705882353,91.5,87.4632352941177,3,2.21,7.2418356,29.782,28.4680882352941,9.92733333333333,4.37970588235294,"Yes",524.30217,"No","No","Yes","No","Yes","Yes","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
43,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,3.3817869,-39.3945,-38.0515056818182,-9.848625,-4.47664772727273,"Yes",635.64876,"No","No","No","No","No","No","No","No","No","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
44,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,4.14269244,-25.7582,-24.8800795454545,-6.43955,-2.92706818181818,"Yes",635.64876,"No","No","No","No","Yes","No","No","Yes","Planting date","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
45,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,6.76366866,21.2127,20.4895397727273,5.303175,2.41053409090909,"Yes",635.64876,"No","No","Yes","No","Yes","No","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
46,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,3.81150828,-31.6934,-30.6129431818182,-7.92335,-3.60152272727273,"Yes",635.64876,"No","No","No","No","No","Yes","No","Yes","Tillage","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
47,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,4.57376976,-18.0328,-17.4180454545455,-4.5082,-2.04918181818182,"Yes",635.64876,"No","No","No","No","Yes","Yes","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
48,5,"SCOPUS-NewSearch","Regional","Maize","United States","Michigan","North America",42.4,-85.4,10.54095936,10.54095936,1053.005535,1053.005535,2090,2002,"EC","RCP6.0","CMIP5",4,3.86363636363636,137.25,132.571022727273,4,3.21,6.7081644,20.218,19.52875,5.0545,2.2975,"Yes",635.64876,"No","No","Yes","No","Yes","Yes","No","Yes","Combined","Liu et al., 2020","10.1371/journal.pone.0225433",2020,NA,NA,NA,NA,NA,915,NA,NA
49,6,"SCOPUS-NewSearch","Regional","Maize","Iran","Qazvin","Asia",36.27,49.99,13.29172039,13.29172039,297.5047045,297.5047045,2028,2000,"NF","RCP2.6","CMIP5",NA,1.08748134268689,-54.1,-44.4392857142857,1.58,0.79,9.68,-3.2,-2.62857142857143,-2.41711864414786,-1.14285714285714,"Yes",427.75232,"No","No","No","No","No","No","No","No","No","Mirgol et al., 2020","10.3390/agriculture10030060",2020,NA,"*",NA,NA,NA,301,NA,NA
50,6,"SCOPUS-NewSearch","Regional","Maize","Iran","Qazvin","Asia",36.27,49.99,13.29172039,13.29172039,297.5047045,297.5047045,2053,2000,"MC","RCP2.6","CMIP5",NA,1.46945891821711,-33.7,-30.5207547169811,1.99,1.2,9.85,-1.47,-1.33132075471698,-0.905993858155809,-0.277358490566038,"Yes",442.73417,"No","No","No","No","No","No","No","No","No","Mirgol et al., 2020","10.3390/agriculture10030060",2020,NA,"*",NA,NA,NA,301,NA,NA
51,6,"SCOPUS-NewSearch","Regional","Maize","Iran","Qazvin","Asia",36.27,49.99,13.29172039,13.29172039,297.5047045,297.5047045,2078,2000,"EC","RCP2.6","CMIP5",NA,1.45071339898254,-27.9,-26.1115384615385,1.98,1.19,10.2,1.99,1.8624358974359,1.28380691785305,0.255128205128205,"Yes",432.77961,"No","No","No","No","No","No","No","No","No","Mirgol et al., 2020","10.3390/agriculture10030060",2020,NA,"*",NA,NA,NA,301,NA,NA
52,6,"SCOPUS-NewSearch","Regional","Maize","Iran","Qazvin","Asia",36.27,49.99,13.29172039,13.29172039,297.5047045,297.5047045,2028,2000,"NF","RCP8.5","CMIP5",NA,1.38605282122462,-31.7,-26.0392857142857,1.73,0.94,10.02,0.18,0.147857142857143,0.106674969808515,0.0642857142857143,"Yes",441.7208,"No","No","No","No","No","No","No","No","No","Mirgol et al., 2020","10.3390/agriculture10030060",2020,NA,"*",NA,NA,NA,301,NA,NA
53,6,"SCOPUS-NewSearch","Regional","Maize","Iran","Qazvin","Asia",36.27,49.99,13.29172039,13.29172039,297.5047045,297.5047045,2053,2000,"MC","RCP8.5","CMIP5",NA,1.94816960119112,-27.6,-24.9962264150943,2.89,2.1,9.68,-3.22,-2.91622641509434,-1.49690582037177,-0.607547169811321,"Yes",558.2122,"No","No","No","No","No","No","No","No","No","Mirgol et al., 2020","10.3390/agriculture10030060",2020,NA,"*",NA,NA,NA,301,NA,NA
